Time 			Rate 	Error
58528.8184236721063 0 0.0000000
58528.8187708943296 0 0.0000000
58528.8191181165530 1 1.0000000
58528.8194653387764 0 0.0000000
58528.8198125609924 0 0.0000000
58528.8201597832158 0 0.0000000
58528.8205070054391 0 0.0000000
58528.8208542276625 0 0.0000000
58528.8212014498858 1 1.0000000
58528.8215486721019 0 0.0000000
58528.8218958943253 0 0.0000000
58528.8222431165486 0 0.0000000
58528.8225903387720 0 0.0000000
58528.8229375609953 0 0.0000000
58528.8232847832187 0 0.0000000
58528.8236320054421 0 0.0000000
58528.8239792276581 0 0.0000000
58528.8243264498815 0 0.0000000
58528.8246736721048 0 0.0000000
58528.8250208943282 0 0.0000000
58528.8253681165515 0 0.0000000
58528.8257153387749 0 0.0000000
58528.8260625609983 0 0.0000000
58528.8264097832143 1 1.0000000
58528.8267570054377 0 0.0000000
58528.8271042276610 0 0.0000000
58528.8274514498844 0 0.0000000
58528.8277986721077 0 0.0000000
58528.8281458943311 0 0.0000000
58528.8284931165545 0 0.0000000
58528.8288403387705 0 0.0000000
58528.8291875609939 0 0.0000000
58528.8295347832172 1 1.0000000
58528.8298820054406 0 0.0000000
58528.8302292276639 0 0.0000000
58528.8305764498800 0 0.0000000
58528.8309236721034 0 0.0000000
58528.8312708943267 0 0.0000000
58528.8316181165501 0 0.0000000
58528.8319653387734 1 1.0000000
58528.8323125609968 0 0.0000000
58528.8326597832202 1 1.0000000
58528.8330070054362 0 0.0000000
58528.8333542276596 0 0.0000000
58528.8337014498829 0 0.0000000
58528.8340486721063 0 0.0000000
58528.8343958943296 0 0.0000000
58528.8347431165530 0 0.0000000
58528.8350903387764 0 0.0000000
58528.8354375609924 0 0.0000000
58528.8357847832158 0 0.0000000
58528.8361320054391 0 0.0000000
58528.8364792276625 0 0.0000000
58528.8368264498858 0 0.0000000
58528.8371736721019 0 0.0000000
58528.8375208943253 0 0.0000000
58528.8378681165486 0 0.0000000
58528.8382153387720 0 0.0000000
58528.8385625609953 0 0.0000000
58528.8389097832187 0 0.0000000
58528.8392570054421 0 0.0000000
58528.8396042276581 0 0.0000000
58528.8399514498815 0 0.0000000
58528.8402986721048 0 0.0000000
58528.8406458943282 0 0.0000000
58528.8409931165515 1 1.0000000
58528.8413403387749 0 0.0000000
58528.8416875609983 0 0.0000000
58528.8420347832143 0 0.0000000
58528.8423820054377 0 0.0000000
58528.8427292276610 0 0.0000000
58528.8430764498844 0 0.0000000
58528.8434236721077 0 0.0000000
58528.8437708943311 0 0.0000000
58528.8441181165545 0 0.0000000
58528.8444653387705 0 0.0000000
58528.8448125609939 0 0.0000000
58528.8451597832172 0 0.0000000
58528.8455070054406 0 0.0000000
58528.8458542276639 0 0.0000000
